allele_name,dataset_size,auc_mean,auc_median,auc_std,auc_min,auc_max,accuracy_mean,accuracy_median,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_median,f1_std,f1_min,f1_max,config_idx,embedding_size,hidden_layer_size,activation,loss,init,n_pretrain_epochs,n_epochs,dropout_probability,max_ic50
B0801,2084,0.9224379552644514,0.9197450147106897,0.015509560007182675,0.9043670536207851,0.9464492014950732,0.86995480538646,0.8705035971223022,0.010643253148095425,0.8557692307692307,0.8848920863309353,0.7015301900038742,0.7182320441988951,0.04686781653940782,0.6153846153846153,0.7446808510638298,0,0,64,relu,mse,uniform,0,200,0,5000
B0802,486,0.9578464782708165,0.975177304964539,0.02619225104662737,0.9182795698924731,0.9822695035460992,0.9609299389859037,0.9690721649484536,0.009973536549863172,0.9484536082474226,0.9690721649484536,0.0,0.0,0.0,0.0,0.0,0,0,64,relu,mse,uniform,0,200,0,5000
B0803,217,0.8427301947438078,0.926829268292683,0.135152745055228,0.6666666666666665,0.9761904761904763,0.9584566596194503,0.9545454545454546,0.017464588945508144,0.9302325581395349,0.9772727272727273,0.0,0.0,0.0,0.0,0.0,0,0,64,relu,mse,uniform,0,200,0,5000
B1501,3142,0.9214170962264694,0.9266498368013056,0.011690418299455736,0.9076459531180894,0.9372805331282841,0.8602776624507611,0.8616852146263911,0.0046182973499598835,0.8535031847133758,0.8664546899841018,0.722777119393464,0.7228915662650601,0.01625366818692152,0.6979865771812079,0.7423312883435583,0,0,64,relu,mse,uniform,0,200,0,5000
B1502,164,0.6040740098108519,0.6111111111111112,0.05502887547235033,0.5037037037037037,0.6616541353383458,0.6956439393939393,0.696969696969697,0.08858211885844046,0.5454545454545454,0.7878787878787878,0.8108011625702913,0.8214285714285715,0.06826625019069237,0.6938775510204083,0.8771929824561403,0,0,64,relu,mse,uniform,0,200,0,5000
B1503,416,0.8586667094736281,0.8678955453149001,0.05960996019757258,0.7546948356807511,0.9402573529411766,0.8388984509466436,0.8313253012048193,0.03304647160068846,0.7951807228915663,0.891566265060241,0.8995339955810941,0.896551724137931,0.02470422689153306,0.8617886178861788,0.9379310344827587,0,0,64,relu,mse,uniform,0,200,0,5000
B1509,346,0.9302247282032182,0.9346153846153846,0.04458147632028174,0.8541666666666667,0.9776119402985075,0.9538716356107659,0.9565217391304348,0.022754894777558574,0.9142857142857143,0.9855072463768116,0.21333333333333332,0.0,0.2745501370929867,0.0,0.6666666666666666,0,0,64,relu,mse,uniform,0,200,0,5000
B1517,846,0.9548800886602031,0.9565082323703014,0.012227449031415073,0.9400826446280992,0.975407268170426,0.892432996867386,0.893491124260355,0.0094864165896059,0.8757396449704142,0.9053254437869822,0.8301238755746727,0.8269230769230769,0.01768555557423802,0.8037383177570093,0.8571428571428571,0,0,64,relu,mse,uniform,0,200,0,5000
B1801,1661,0.9109446078846555,0.9086099086099086,0.026424989317902034,0.8682988602785985,0.9504926108374383,0.9145283838054923,0.9186746987951807,0.020549502729771227,0.8828828828828829,0.9397590361445783,0.5828753765777259,0.6024096385542169,0.048378451751822864,0.5,0.64,0,0,64,relu,mse,uniform,0,200,0,5000
B2705,2324,0.9603883883665818,0.96051667630615,0.010894354844486965,0.94896331738437,0.9779699198303851,0.9350305895439377,0.9397849462365592,0.01178847673184637,0.9161290322580645,0.946236559139785,0.7805873974436587,0.787878787878788,0.031649706777577044,0.7234042553191489,0.8091603053435115,0,0,64,relu,mse,uniform,0,200,0,5000
